3.694175717476152;0.0	4.206997890168082;0.0	4.189319949460757;0.0	4.09127811872236;0.0	4.159217095123373;0.0	
3.1807135759690413;0.0	4.377933816319511;0.0	3.896533352341992;0.0	4.2759979961935155;0.0	4.131453041008359;0.0	
1.9760413755424282;0.0	4.094750670988903;0.0	4.170006973861964;0.0	4.293522268367369;0.0	4.015978154761984;0.0	
3.0008037355706088;0.0	4.121776024390395;0.0	3.956224912687707;0.0	4.085619077039718;0.0	4.199810305452477;0.0	
3.3979533996095204;0.0	4.248870308706848;0.0	4.12487384816541;0.0	4.062008303081453;0.0	4.305029812660299;0.0	
3.7183890586535937;0.0	4.164205870044662;0.0	4.09643988276877;0.0	4.175998588980051;0.0	4.599313350258373;0.0	
3.6853838781442776;0.0	4.847461093604902;0.0	3.9766480934021677;0.0	4.759991145247546;0.0	5.2800434810070245;0.0	
3.0446326979676117;0.0	4.595480052765219;0.0	4.390254788324927;0.0	4.175676955918963;0.0	4.371475017750023;0.0	
3.228452064110039;0.0	4.01758197579014;0.0	4.173175565639553;0.0	4.0436133456831085;0.0	4.09135084715119;0.0	
3.118984364387094;0.0	4.244391719992771;0.0	4.188405950462103;0.0	4.1432526086533255;0.0	4.156568132120327;0.0	
3.3419853365192833;0.0	4.446853997219172;0.0	3.9966378292755165;0.0	4.1194073960331785;0.0	4.097982376439334;0.0	
2.8187003762438043;0.0	4.226910228289869;0.0	3.9269195490771716;0.0	4.093212868290176;0.0	4.352467511651598;0.0	
3.765876926622897;0.0	4.230341871206827;0.0	3.95059912784496;0.0	4.111375592403517;0.0	4.067930928904442;0.0	
2.3575738480491513;0.0	4.1204373433486765;0.0	4.047649334095831;0.0	4.177287817603319;0.0	4.177501723915668;0.0	
2.631582610566832;0.0	4.650622288201456;0.0	4.106681988337579;0.0	4.236244321473416;0.0	4.121917226058881;0.0	
2.9273802934645334;0.0	4.3357746478269235;0.0	4.13033730923385;0.0	4.140813868723932;0.0	4.018300429586008;0.0	
2.4970833996592208;0.0	4.298126012100489;0.0	4.257832105634932;0.0	4.114587856876477;0.0	4.064425776725464;0.0	
2.946046445578496;0.0	4.466258322142167;0.0	4.299050607800615;0.0	4.14656812688441;0.0	4.036645096286502;0.0	
4.182662563938329;0.0	8.425730718883091;0.0	6.6833447626966835;0.0	6.9340578041504495;0.0	5.589105259339789;0.0	
6.089171686755622;0.0	7.922515419649686;0.0	6.966324167031557;0.0	7.080800822465498;0.0	5.5140654794299;0.0	
5.138492563077096;0.0	8.537559008952146;0.0	7.300822293966669;0.0	6.468631264765234;0.0	6.17675012074036;0.0	
6.728825955213976;0.0	8.22933158417789;0.0	5.686268898004472;0.0	5.940507767536132;0.0	4.845627961685928;0.0	
6.089954977857597;0.0	8.688694276737044;0.0	5.973208310740933;0.0	5.992918855473352;0.0	6.7390373705855895;0.0	
6.080368745179511;0.0	8.723823458632365;0.0	7.265436968491665;0.0	7.589711824186703;0.0	6.747354674043862;0.0	
5.170173681800292;0.0	8.044556994666426;0.0	7.368751174320165;0.0	7.552166645210026;0.0	6.289121507950916;0.0	
5.92485707392328;0.0	8.32984965717939;0.0	7.707791515306693;0.0	7.648610534300454;0.0	6.46114295251586;0.0	
5.881929335101737;0.0	8.501389594019209;0.0	8.169459064004243;0.0	7.76383042085698;0.0	5.485255180863013;0.0	
5.516468578272662;0.0	8.274535620101014;0.0	7.8400777314080585;0.0	7.373461575696527;0.0	5.391397695679684;0.0	
5.602667105802641;0.0	8.079059630317303;0.0	7.092485770207782;0.0	7.019665923391598;0.0	5.208218745186779;0.0	
6.243958205039638;0.0	6.994719079234105;0.0	5.4321502971973405;0.0	5.509644907758472;0.0	5.315018025609524;0.0	
6.111015416125784;0.0	6.2537287363242084;0.0	5.761835096865735;0.0	5.981340986967996;0.0	5.711890232203947;0.0	
4.433801793406079;0.0	5.638180211800568;0.0	5.440069614251669;0.0	5.579527500653411;0.0	5.554103907395555;0.0	
6.804212123792906;0.0	6.751788998011341;0.0	5.691017902696418;0.0	5.878040585968175;0.0	5.296331419557497;0.0	
5.4268173749077935;0.0	6.644012597302129;0.0	6.0817932558648256;0.0	4.557663967678804;0.0	4.434948774008957;0.0	
5.362973184685455;0.0	7.997733793326038;0.0	6.898233222542152;0.0	7.2283171349679725;0.0	5.741131032445998;0.0	
6.025693110816024;0.0	8.33441749001231;0.0	7.530828624482464;0.0	7.138655666458661;0.0	5.357059209653347;0.0	
6.478482370322213;0.0	8.212389540359572;0.0	7.411398898303347;0.0	8.05184936861765;0.0	5.6607910147111;0.0	
5.313031854967334;0.0	6.594871549079483;0.0	6.905825345394361;0.0	7.694182885168006;0.0	5.113279039881717;0.0	
3.9500382664552323;0.0	6.170399221941607;0.0	6.424020701386898;0.0	6.736081313332513;0.0	4.991558664699838;0.0	
3.492325022525683;0.0	5.6699947584571095;0.0	5.351890208087228;0.0	6.15309382775047;0.0	4.664493546951472;0.0	
3.8819920122858043;0.0	5.292971325556827;0.0	5.3463735005888395;0.0	5.319230443527783;0.0	5.020102430174082;0.0	
3.2424799964453355;0.0	4.6488945710601906;0.0	4.358550185803862;0.0	4.534080581753899;0.0	4.283700446217425;0.0	
3.5364033503450356;0.0	4.106875870581648;0.0	4.221602073195322;0.0	4.218669672823212;0.0	4.161711331848531;0.0	
2.965086902658421;0.0	4.349266864520248;0.0	3.9089235850611748;0.0	4.123192609799228;0.0	4.120320826433776;0.0	
3.109463355618964;0.0	4.337655860565777;0.0	3.970798504855173;0.0	4.0958103104764785;0.0	4.246679438713449;0.0	
2.260207299457199;0.0	4.016924075236612;0.0	4.180635055846193;0.0	3.9852610864556284;0.0	4.168324935533098;0.0	
4.1873606076035905;0.0	5.752024671491169;0.0	5.726329361359207;0.0	5.842203304946899;0.0	5.438201477537066;0.0	
2.6259483472460894;0.0	5.094646909251456;0.0	5.455811342738739;0.0	5.482367140864577;0.0	5.1627439374351916;0.0	
